0	1	0
2	3	1
4	5	2
6	7	3
8	9	4
10	11	5
12	13	4
14	15	3
16	5	2
17	18	6
19	5	2
20	21	2
22	23	1
24	5	2
25	26	6
27	28	7
29	30	3
31	32	2
33	34	2
35	36	8
37	5	2
38	39	2
40	41	1
42	43	6
44	45	1
46	47	4
48	49	6
50	51	3
52	53	3
54	34	2
55	56	4
57	39	2
58	34	2
59	39	2
60	61	2
62	63	9
64	56	8
65	66	6
67	68	6
69	70	3
71	72	3
73	74	3
75	76	6
77	78	6
79	80	4
81	82	10
83	84	11
85	86	8
87	88	4
89	90	9
91	92	2
93	94	2
95	96	5
97	5	2
98	99	12
100	101	3
102	103	9
104	105	13
106	107	3
108	32	2
109	34	2
110	111	4
112	113	2
114	115	3
116	92	2
117	118	3
119	120	7
121	122	2
123	5	2
26	124	8
125	82	10
126	127	3
128	92	2
129	32	2
130	39	2
131	132	6
133	39	2
134	32	2
135	136	7
137	13	4
138	139	0
140	141	4
142	13	4
143	144	14
145	5	2
146	147	15
148	5	2
149	34	2
150	151	14
140	5	2
152	92	2
153	154	2
155	156	3
157	158	6
159	160	16
161	5	2
162	5	2
163	164	15
165	92	2
166	167	3
168	34	2
169	9	4
170	5	2
171	34	2
172	173	6
174	175	17
176	92	2
177	5	2
31	178	0
14	1	4
179	5	2
180	181	6
182	183	13
184	185	1
186	187	3
188	189	1
190	5	2
191	192	2
193	39	2
194	195	15
196	92	2
197	198	6
199	200	4
201	34	2
202	203	12
204	5	2
205	206	18
207	208	7
209	210	4
211	212	1
213	214	3
215	1	4
216	217	3
218	118	3
219	220	3
221	222	6
223	224	13
225	226	13
227	228	4
229	61	2
230	231	3
232	233	14
234	235	3
236	237	6
238	239	6
240	241	4
242	34	2
243	244	8
245	246	19
247	105	5
248	249	7
250	113	2
251	39	2
252	253	3
254	255	3
256	5	2
257	258	6
259	5	2
260	32	2
261	262	6
263	264	4
265	266	6
267	105	4
268	80	5
269	270	3
271	272	1
273	274	3
275	276	5
277	32	2
278	279	10
202	113	2
280	281	15
282	283	0
284	285	1
286	287	6
288	289	10
290	291	0
292	113	2
293	39	2
294	295	4
296	5	2
297	1	4
298	34	2
299	88	4
300	301	4
302	32	2
303	113	2
304	39	2
305	306	3
102	307	0
135	308	3
309	34	2
310	311	6
312	313	20
314	315	2
316	39	2
317	34	2
318	154	2
319	92	2
320	321	5
322	32	2
323	324	8
325	326	4
327	328	6
329	330	16
331	34	2
332	333	7
334	80	4
335	39	2
336	61	2
337	338	3
339	340	3
341	56	4
342	113	2
343	12	6
344	345	10
346	347	1
348	235	3
349	3	1
350	351	7
352	1	0
353	47	4
354	141	8
355	356	4
357	358	4
195	61	2
359	360	6
361	32	2
362	363	21
364	34	2
365	366	3
367	368	10
369	370	19
371	372	3
373	374	22
375	86	8
376	377	23
378	379	14
380	381	14
382	383	6
384	385	2
190	317	6
386	387	5
388	92	2
389	47	8
390	13	4
391	5	2
392	393	8
394	113	2
395	396	3
397	39	2
398	399	5
400	255	3
401	377	4
402	403	13
404	405	10
406	5	2
407	408	10
409	410	18
411	5	2
412	32	2
42	413	6
414	415	4
416	417	24
418	419	4
420	421	25
422	34	2
423	377	4
424	425	1
426	427	6
428	39	2
429	396	3
430	61	2
431	32	2
432	433	5
434	396	3
435	34	2
436	295	8
437	438	10
439	5	2
440	441	14
442	443	3
50	444	4
445	113	2
446	447	26
448	449	4
450	451	13
452	453	4
454	455	6
456	457	6
458	459	15
460	39	2
461	39	2
462	34	2
463	464	6
465	466	4
467	468	6
469	39	2
470	34	2
471	61	2
472	473	6
474	447	4
475	476	3
